reference_year,state,rating_areas_age40,rating_areas_age60,slcsp_state_mean_age40,slcsp_state_mean_age60,slcsp_state_median_age40,slcsp_state_median_age60,fpl_single,gross_burden_age60_at400fpl,gross_burden_age40_at400fpl,gross_burden_excess_age60_over_8p5,pre_2021_age60_excess_burden,high_pre_premium_burden
2020,AL,13,13,555.3638461538461,1179.3876923076923,538.04,1142.6,12760,0.2772855075958524,0.13057143718350614,0.1922855075958524,0.19854898533309476,1
2020,AR,7,7,365.41,775.99,365.41,775.99,12760,0.18244278996865207,0.0859114420062696,0.09744278996865206,0.1037833145817777,0
2020,AZ,7,7,540.6657142857142,1148.1742857142856,507.09,1076.87,12760,0.26994693237796685,0.12711576354679802,0.18494693237796683,0.20474757727743675,1
2020,DE,1,1,547.84,1163.41,547.84,1163.41,12760,0.2735289968652038,0.1288025078369906,0.1885289968652038,0.22592096885432614,1
2020,FL,67,67,559.75,1188.7017910447762,472.84,1004.13,12760,0.27947534272212604,0.1316026645768025,0.19447534272212602,0.20837611750284935,1
2020,GA,16,16,459.7725,976.386875,428.98,910.99,12760,0.22955804271159874,0.10809698275862067,0.14455804271159872,0.1758417431723521,0
2020,HI,1,1,470.76,999.72,470.76,999.72,14680,0.20430245231607627,0.09620435967302453,0.11930245231607627,0.12671822023069465,0
2020,IA,7,7,703.9514285714286,1494.9328571428573,722.26,1533.82,12760,0.3514732422749664,0.16550582176444245,0.2664732422749664,0.2897810668854524,1
2020,IL,13,13,522.3984615384616,1109.38,542.23,1151.48,12760,0.2608260188087775,0.12282095490716181,0.17582601880877746,0.18891628633995464,1
2020,IN,17,17,374.5094117647059,795.3182352941176,383.21,813.8,12760,0.18698704591554488,0.08805080213903743,0.10198704591554487,0.0925341107508569,0
2020,KS,7,7,509.04285714285714,1081.0214285714285,483.53,1026.85,12760,0.25415864308105685,0.1196809225257501,0.16915864308105683,0.1768675701832235,0
2020,KY,8,8,483.77875,1027.37,453.425,962.915,12760,0.24154467084639497,0.1137410854231975,0.15654467084639495,0.14622335878675413,0
2020,LA,8,8,502.80625,1067.7725,492.09000000000003,1045.0149999999999,12760,0.25104369122257053,0.11821463557993729,0.1660436912225705,0.1673643045439331,0
2020,ME,4,4,530.8125,1127.2575,488.46500000000003,1037.33,12760,0.26502919278996867,0.12479917711598747,0.18002919278996865,0.20630075727110633,1
2020,MI,16,16,390.8575,830.03625,390.73,829.765,12760,0.19514958855799372,0.09189439655172414,0.11014958855799371,0.12112297059750955,0
2020,MO,10,10,550.0840000000001,1168.217,492.15,1045.15,12760,0.27465916927899686,0.12933009404388715,0.18965916927899684,0.1996475182231173,1
2020,MS,6,6,478.15333333333336,1015.4200000000001,482.545,1024.755,12760,0.23873510971786835,0.11241849529780565,0.15373510971786836,0.17758080447304966,0
2020,MT,4,4,467.6275,993.23,470.255,998.46,12760,0.2335180250783699,0.10994376959247648,0.14851802507836992,0.17683378914531542,0
2020,NC,16,16,576.349375,1223.956875,513.115,1089.6599999999999,12760,0.2877641555642634,0.13550533894984326,0.20276415556426336,0.2294809392563836,1
2020,ND,4,4,344.1275,730.8,326.53,693.43,12760,0.1718181818181818,0.08090771943573667,0.08681818181818178,0.09917278735374101,0
2020,NE,4,4,718.5725,1525.98,735.685,1562.3200000000002,12760,0.3587727272727273,0.16894337774294668,0.2737727272727273,0.31179552797547305,1
